ID,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,latitude,longitude
1,India,1041,1091,1146,1325,1288,1274,1255,1602,1724,23.4060116,79.4580917
2,United States of America,699,673,789,773,751,792,819,738,738,39.4432564,-98.9573364
3,China,260,330,411,422,475,542,584,745,638,36.5530853,103.9754333
4,Japan,356,417,407,418,448,408,441,554,591,36.2816467,139.0772705
5,France,240,203,228,240,230,261,272,279,270,46.6372795,2.3382623
6,United Kingdom of Great Britain and Northern Ireland,106,107,124,279,313,346,299,326,241,54.5608864,-2.2125118
7,Spain,142,150,172,173,186,200,199,182,231,40.3960266,-3.5506926
8,Germany,146,174,174,185,216,189,212,220,223,51.2024651,10.3822031
9,Republic of Korea,87,110,124,113,158,152,216,204,207,36.0972404,127.5127029
10,Argentina,41,63,48,46,61,121,100,141,168,-37.0719643,-64.8545074
11,Italy,98,116,121,154,131,142,155,166,167,42.7669792,12.4938231
12,Russian Federation,62,59,78,78,78,133,111,109,139,63.1251869,103.7539825
13,Brazil,40,60,78,79,84,75,99,83,129,-10.8104515,-52.9731178
14,Mexico,53,64,70,70,66,69,73,112,126,23.9090939,-102.6334
15,Switzerland,86,80,87,87,80,88,84,93,103,46.8037987,8.2228546
16,Canada,52,74,99,75,81,98,86,98,93,62.8329086,-95.9133224
17,Iran (Islamic Republic of),26,..,57,51,62,98,76,67,87,32.5007782,54.2942009
18,Turkey,28,35,40,50,70,65,70,61,85,39.0510101,34.9303398
19,Malaysia,23,28,28,28,27,39,49,76,71,2.5490005,102.962616
20,Belgium,46,69,37,38,47,46,42,55,70,50.6489639,4.6415024
21,Azerbaijan,2,3,14,13,16,20,63,69,69,40.3310051,47.8082008
22,Denmark,31,33,29,34,37,49,43,59,69,56.1017609,9.5559072
23,Greece,24,22,33,29,37,18,43,44,69,39.6843719,21.8974094
24,Netherlands,51,38,42,62,50,65,73,79,68,52.3422585,5.5281572
25,Sweden,53,46,29,36,41,54,43,51,61,62.6749725,16.7980595
26,Israel,22,22,23,35,19,29,26,40,55,31.8141937,34.7533722
27,Philippines,84,65,106,121,80,40,44,78,53,11.1126661,122.5094757
28,Finland,20,26,17,25,25,42,42,49,49,64.2885818,25.9894028
29,Austria,30,33,32,30,35,46,54,54,46,47.5884399,14.1402111
30,Czech Republic,31,45,30,39,45,37,45,46,45,49.7391052,15.331501
31,Hong Kong,55,51,50,53,70,54,53,52,42,22.3964,114.1095
32,Hungary,26,46,28,30,27,24,..,32,38,47.1657333,19.4165745
33,Romania,20,18,12,14,22,29,17,38,37,45.8377419,25.0059357
34,Ireland,10,19,24,39,36,34,32,38,34,53.1827278,-8.1961021
35,Egypt,23,59,37,44,46,37,28,25,33,26.7561035,29.8622971
36,Chile,18,11,12,24,14,14,23,27,31,-35.7862282,-71.674675
37,Poland,30,37,40,45,49,60,51,47,31,52.14785,19.3777599
38,Norway,24,24,27,30,27,27,35,26,29,66.7666702,14.8999252
39,Armenia,10,8,4,3,5,2,5,24,28,40.2926636,44.9394722
40,Australia,25,28,26,33,45,37,43,29,26,-25.5852413,134.5041199
41,Colombia,8,8,8,17,19,10,18,29,26,3.9976072,-73.2779694
42,Croatia,2,2,13,13,7,7,9,22,26,45.4443054,15.7345037
43,New Zealand,3,6,11,11,14,21,25,24,25,-44.0562935,170.3541565
44,South Africa,11,10,9,10,18,23,22,19,25,-29.0461845,25.0628796
45,Morocco,16,12,15,13,14,19,24,22,22,29.1405907,-8.9533882
46,Slovakia,8,3,10,11,18,8,12,21,22,48.7074852,19.48489
47,Mongolia,1,1,..,14,15,14,13,13,21,46.8364792,103.0668945
48,Venezuela (Bolivarian Republic of),7,14,13,32,9,13,16,13,21,7.6653886,-66.1454163
49,Estonia,8,11,14,9,12,5,13,21,18,58.6937447,25.2416248
50,Serbia,..,..,19,16,26,35,29,29,18,44.2329712,20.7979584
51,Burkina Faso,4,5,3,1,4,..,..,18,16,12.2849855,-1.7455606
52,Bulgaria,9,12,8,9,18,15,15,19,15,42.7661018,25.2837334
53,Lebanon,7,8,8,10,8,13,14,7,15,33.9254112,35.8997269
54,Lithuania,2,1,1,3,2,7,2,6,15,55.3387184,23.870924
55,Portugal,22,32,15,17,23,33,30,15,13,39.6420097,-8.0094223
56,Singapore,8,10,14,17,6,14,15,12,13,1.3219959,103.8205338
57,Slovenia,10,4,5,8,11,8,19,10,13,46.1202393,14.8206644
58,Peru,4,6,6,11,8,8,8,8,12,-9.212533,-74.4221191
59,Ukraine,5,7,9,17,5,..,3,7,12,48.9265633,31.4757824
60,Bosnia and Herzegovina,..,..,7,10,6,5,7,2,11,44.1653328,17.7902412
61,Uruguay,6,2,19,16,14,8,8,15,11,-32.9696541,-56.0559082
62,Latvia,4,6,7,7,9,11,6,11,10,56.8687325,24.8402443
63,Gabon,..,..,1,4,6,9,10,10,9,-0.6345401,11.7386084
64,Georgia,..,..,7,13,14,7,14,6,9,42.1810265,43.5059509
65,Tunisia,7,4,..,2,1,16,11,8,8,34.3352852,9.2452593
66,Iceland,2,6,9,10,12,17,13,8,7,64.928566,-18.9617004
67,Puerto Rico,2,..,..,..,..,4,10,8,6,18.2491398,-66.6280365
68,Macau,..,1,1,1,4,1,1,1,4,22.1987,113.5439
69,The former Yugoslav Republic of Macedonia,2,2,6,..,2,4,12,10,3,41.6004562,21.7008953
70,Costa Rica,..,..,..,2,2,6,3,3,2,9.8849916,-84.2272339